day,max_temp,min_temp
1th jan,36.1,23.5
2th jan,23.8,17.3
3th jan,31.2,11.3
4th jan,27.2,19.8
5th jan,41.4,19.5
6th jan,38.8,29.0
7th jan,37.3,29.9
8th jan,42.2,28.2
9th jan,40.8,27.4
10th jan,42.9,34.3
11th jan,34.2,26.8
12th jan,40.4,25.6
13th jan,51.1,34.4
14th jan,46.4,37.5
15th jan,40.5,24.9
16th jan,37.0,20.3
17th jan,37.3,12.7
18th jan,25.8,16.2
19th jan,31.1,14.8
20th jan,24.5,5.0
21th jan,24.9,1.6
22th jan,32.1,7.9
23th jan,27.2,8.2
24th jan,31.5,7.9
25th jan,24.1,14.4
26th jan,27.0,14.5
27th jan,33.2,23.7
28th jan,32.5,3.1
29th jan,7.2,-9.5
30th jan,9.5,-9.4
31th jan,26.0,-2.3
1th feb,33.1,19.5
2th feb,40.5,24.1
3th feb,45.8,29.8
4th feb,40.6,31.8
5th feb,48.6,29.8
6th feb,31.6,14.5
7th feb,44.0,10.7
8th feb,34.5,9.6
9th feb,29.8,2.8
10th feb,50.7,-4.5
11th feb,55.1,23.4
12th feb,48.2,25.1
13th feb,48.1,24.5
14th feb,34.8,14.4
15th feb,14.5,3.5
16th feb,31.0,-3.6
17th feb,43.0,23.5
18th feb,40.5,29.6
19th feb,32.5,24.3
20th feb,42.2,30.8
21th feb,45.6,27.6
22th feb,27.7,-10.3
23th feb,22.9,-7.5
24th feb,28.5,4.4
25th feb,46.1,21.9
26th feb,48.2,31.1
27th feb,33.3,25.0
28th feb,29.3,17.5
1th mar,27.4,13.7
2th mar,37.2,10.5
3th mar,36.4,23.0
4th mar,35.7,19.1
5th mar,35.5,4.4
6th mar,35.1,11.9
7th mar,28.6,17.8
8th mar,30.2,19.5
9th mar,38.2,18.4
10th mar,44.5,16.4
11th mar,40.7,24.9
12th mar,32.7,15.0
13th mar,45.4,16.6
14th mar,47.6,33.6
15th mar,50.1,35.5
16th mar,35.5,16.1
17th mar,37.9,6.3
18th mar,39.4,13.0
19th mar,39.9,7.0
20th mar,44.2,28.9
21th mar,39.8,26.7
22th mar,34.6,23.7
23th mar,40.4,24.6
24th mar,37.8,22.4
25th mar,25.6,14.8
26th mar,29.6,13.6
27th mar,23.1,13.7
28th mar,43.1,15.3
29th mar,51.1,25.4
30th mar,52.8,22.5
31th mar,35.1,29.6
1th apr,47.8,28.7
2th apr,50.0,34.2
3th apr,40.8,27.0
4th apr,27.0,10.3
5th apr,32.6,6.0
6th apr,38.1,8.0
7th apr,51.4,9.8
8th apr,51.0,23.6
9th apr,55.1,34.5
10th apr,66.7,34.9
11th apr,68.0,26.0
12th apr,67.8,37.3
13th apr,61.8,36.6
14th apr,48.4,23.9
15th apr,37.6,20.9
16th apr,53.3,29.0
17th apr,59.3,29.0
18th apr,61.4,25.7
19th apr,48.1,24.2
20th apr,34.2,19.1
21th apr,35.3,21.8
22th apr,29.8,19.7
